CNPJ;RazaoSocial;Ano;Trimestre;ValorDespesas;Motivos
;;2025;3;256.2;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;7228973.85;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;10472133.92;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;13290129.96;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;2069.41;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;40556.64;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;11847.0;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;622555.32;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;1062373.11;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;94573.45;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;798936.35;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;360961.53;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;111338.38;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;535284.25;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;468434.2;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;14726931.65;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;12779516.93;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;23020425.13;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;10339028.96;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;124190.33;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;60106775.85;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;867299.05;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;25590725.89;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;626931.83;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;4168328.2;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;677380.97;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;21146.84;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;5417908.37;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;15428.2;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;82554.88;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;2235.95;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;181506.45;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;65.4;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;2200.61;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;3065.41;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;234.16;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;8247.35;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;13208.86;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;384703.22;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;319731.08;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;78725.8;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;626785.42;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;2059.39;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;258460.77;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;260240.02;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;8033961.43;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;3964174.87;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;1582084.4;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;7514434.14;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;2748869.8;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;387458.47;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;4474381.64;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;4305844.66;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;1245761.23;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;9568467.48;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;79706.2;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;1841371.42;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;1475419.88;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;423446.04;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;2747354.76;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;13954.19;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;13828.03;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;101361.14;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;47951.17;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;268992.5;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;28400.82;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;7736.89;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;22184.7;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;114542.05;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;1418062.37;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;112991.08;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;12440311.37;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
;;2025;3;82439775.53;CNPJ_INVALIDO,RAZAO_SOCIAL_VAZIA
